sort, type, size, time
treeSort,int,10000,0.066352
qsort,int,10000,0.000187
treeSort,double,10000,0.006943
qsort,double,10000,0.000778
treeSort,float,10000,0.002665
qsort,float,10000,0.000956
treeSort,string,10000,0.009565
qsort,string,10000,0.001291
treeSort,int,20000,0.277341
qsort,int,20000,0.000378
treeSort,double,20000,0.027437
qsort,double,20000,0.001712
treeSort,float,20000,0.006479
qsort,float,20000,0.001996
treeSort,string,20000,0.037899
qsort,string,20000,0.002817
treeSort,int,25000,0.452275
qsort,int,25000,0.000454
treeSort,double,25000,0.953433
qsort,double,25000,0.002303
treeSort,float,25000,0.007918
qsort,float,25000,0.002569
treeSort,string,25000,0.052152
qsort,string,25000,0.003558
treeSort,int,30000,0.664022
qsort,int,30000,0.000520
treeSort,double,30000,0.027276
qsort,double,30000,0.002530
treeSort,float,30000,0.009951
qsort,float,30000,0.003266
treeSort,string,30000,0.085527
qsort,string,30000,0.004374
treeSort,int,35000,0.968713
qsort,int,35000,0.000694
treeSort,double,35000,0.048890
qsort,double,35000,0.003248
treeSort,float,35000,0.011937
qsort,float,35000,0.003722
treeSort,string,35000,0.102934
qsort,string,35000,0.005077
treeSort,int,40000,1.162380
qsort,int,40000,0.000742
treeSort,double,40000,2.695848
qsort,double,40000,0.003887
treeSort,float,40000,0.015887
qsort,float,40000,0.004323
treeSort,string,40000,0.146358
qsort,string,40000,0.005927
treeSort,int,45000,1.527058
qsort,int,45000,0.000822
treeSort,double,45000,0.037486
qsort,double,45000,0.004216
treeSort,float,45000,0.015836
qsort,float,45000,0.004866
treeSort,string,45000,0.167173
qsort,string,45000,0.006721
treeSort,int,50000,1.879505
qsort,int,50000,0.000869
treeSort,double,50000,0.016799
qsort,double,50000,0.004694
treeSort,float,50000,0.017011
qsort,float,50000,0.005468
treeSort,string,50000,0.216226
qsort,string,50000,0.007384
treeSort,int,100000,8.229991
qsort,int,100000,0.001970
treeSort,double,100000,17.882277
qsort,double,100000,0.010336
treeSort,float,100000,0.041005
qsort,float,100000,0.011726
treeSort,string,100000,0.905403
qsort,string,100000,0.015782
